Genes,Header,Length
AADAT,NP_872603,425
AASS,NP_005754,926
ABAT,NP_065737,500
ABCA9,NP_525022,1624
ABCB10,NP_036221,738
ABCB6,NP_005680,842
ABCB7,NP_001258625,752
ABCB8,NP_001269220,735
ABCD1,NP_000024,745
ABCD2,NP_005155,740
ABCD3,NP_002849,659
ABHD10,NP_060864,306
ABHD11,NP_683710,315
ACAA1,NP_001598,424
ACAA2,NP_006102,397
ACACA,NP_942133,2346
ACACB,NP_001084,2458
ACAD10,NP_079523,1059
ACAD11,NP_115545,780
ACAD8,NP_055199,415
ACAD9,NP_054768,621
ACADL,NP_001599,430
ACADM,NP_000007,421
ACADS,NP_000008,412
ACADSB,NP_001600,432
ACADVL,NP_000009,655
ACAT1,NP_000010,427
ACCS,NP_115981,501
ACLY,NP_001087,1101
ACO2,NP_001089,780
ACOD1,NP_001245335,481
ACOT11,NP_056362,607
ACOT13,NP_060943,140
ACOT2,NP_006812,483
ACOT7,NP_863654,380
ACOT9,NP_001028755,439
ACP6,NP_057445,428
ACSF2,NP_079425,615
ACSF3,NP_001230208,576
ACSL1,NP_001273637,698
ACSM1,NP_443188,577
ACSM2B,NP_872423,577
ACSM3,NP_005613,586
ACSM4,NP_001073923,580
ACSM5,NP_060358,579
ACSS1,NP_115890,689
ACSS3,NP_078836,686
ADCK2,NP_443085,626
ADCK5,NP_777582,580
ADCY10,NP_060887,1610
ADHFE1,NP_653251,467
AFG1L,NP_660358,481
AFG3L2,NP_006787,797
AGK,NP_060708,422
AGMAT,NP_079034,352
AGPAT4,NP_064518,378
AGPAT5,NP_060831,364
AGXT,NP_000021,392
AGXT2,NP_114106,514
AHCYL1,NP_006612,530
AIFM1,NP_004199,613
AIFM2,NP_116186,373
AIFM3,NP_653305,605
AK2,NP_001616,239
AK3,NP_057366,227
AK4,NP_982289,223
AKAP1,NP_001229832,903
AKAP10,NP_009133,662
AKR1B10,NP_064695,316
AKR7A2,NP_003680,359
ALAS1,NP_954635,640
ALAS2,NP_000023,587
ALDH18A1,NP_002851,795
ALDH1L1,NP_036322,902
ALDH1L2,NP_001029345,923
ALDH2,NP_000681,517
ALDH3A2,NP_000373,485
ALDH4A1,NP_003739,563
ALDH5A1,NP_001071,535
ALDH6A1,NP_005580,535
ALDH7A1,NP_001173,539
ALKBH1,NP_006011,389
ALKBH7,NP_115682,221
AMACR,NP_055139,382
AMT,NP_000472,403
