Header,GOid,GOterm,Score
NP_000088,GO:0005758,C:mitochondrial intermembrane space,0.58
NP_000231,GO:0005741,C:mitochondrial outer membrane,0.71
NP_000523,GO:0005743,C:mitochondrial inner membrane,0.14
NP_000627,GO:0005759,C:mitochondrial matrix,0.54
NP_000775,GO:0005743,C:mitochondrial inner membrane,0.8
NP_000911,GO:0005759,C:mitochondrial matrix,0.93
NP_001003704,GO:0005741,C:mitochondrial outer membrane,0.56
NP_001014763,GO:0005759,C:mitochondrial matrix,0.31
NP_001015001,GO:0005743,C:mitochondrial inner membrane,0.12
NP_001017423,GO:0005743,C:mitochondrial inner membrane,0.37
NP_001021384,GO:0005743,C:mitochondrial inner membrane,0.52
NP_001025162,GO:0005743,C:mitochondrial inner membrane,0.24
NP_001034672,GO:0005741,C:mitochondrial outer membrane,0.41
NP_001035282,GO:0005743,C:mitochondrial inner membrane,0.13
NP_001070709,GO:0005743,C:mitochondrial inner membrane,0.97
NP_001077415,GO:0005743,C:mitochondrial inner membrane,0.28
NP_001093639,GO:0005743,C:mitochondrial inner membrane,0.43
NP_001106677,GO:0005758,C:mitochondrial intermembrane space,0.42
NP_001121773,GO:0005759,C:mitochondrial matrix,0.27
NP_001123561,GO:0005759,C:mitochondrial matrix,0.64
NP_001128496,GO:0005741,C:mitochondrial outer membrane,0.16
NP_001129294,GO:0005741,C:mitochondrial outer membrane,0.32
NP_001130010,GO:0005743,C:mitochondrial inner membrane,0.16
NP_001137456,GO:0005743,C:mitochondrial inner membrane,0.45
NP_001138372,GO:0005741,C:mitochondrial outer membrane,0.18
NP_001138423,GO:0005759,C:mitochondrial matrix,0.38
NP_001139310,GO:0005743,C:mitochondrial inner membrane,0.57
NP_001158183,GO:0005759,C:mitochondrial matrix,0.38
NP_001158283,GO:0005741,C:mitochondrial outer membrane,0.24
NP_001158313,GO:0005759,C:mitochondrial matrix,0.36
NP_001158730,GO:0005743,C:mitochondrial inner membrane,0.78
NP_001159482,GO:0005741,C:mitochondrial outer membrane,0.14
NP_001161807,GO:0005759,C:mitochondrial matrix,0.32
NP_001165161,GO:0005759,C:mitochondrial matrix,0.31
NP_001165461,GO:0005743,C:mitochondrial inner membrane,0.55
NP_001171821,GO:0005741,C:mitochondrial outer membrane,0.11
NP_001172022,GO:0005743,C:mitochondrial inner membrane,0.12
NP_001180546,GO:0005758,C:mitochondrial intermembrane space,0.1
NP_001182451,GO:0005743,C:mitochondrial inner membrane,0.84
NP_001186911,GO:0005759,C:mitochondrial matrix,0.11
NP_001186916,GO:0005758,C:mitochondrial intermembrane space,0.4
NP_001188505,GO:0005741,C:mitochondrial outer membrane,0.19
NP_001192177,GO:0005743,C:mitochondrial inner membrane,0.37
NP_001230679,GO:0005741,C:mitochondrial outer membrane,0.35
NP_001234940,GO:0005759,C:mitochondrial matrix,0.29
NP_001242939,GO:0005741,C:mitochondrial outer membrane,0.32
NP_001243406,GO:0005743,C:mitochondrial inner membrane,0.28
NP_001244272,GO:0005743,C:mitochondrial inner membrane,0.33
NP_001244941,GO:0005743,C:mitochondrial inner membrane,0.56
NP_001245267,GO:0005743,C:mitochondrial inner membrane,0.55
NP_001245302,GO:0005741,C:mitochondrial outer membrane,0.16
NP_001245323,GO:0005741,C:mitochondrial outer membrane,0.35
NP_001245335,GO:0005743,C:mitochondrial inner membrane,0.12
NP_001254793,GO:0005758,C:mitochondrial intermembrane space,0.17
NP_001257609,GO:0005743,C:mitochondrial inner membrane,0.65
NP_001257662,GO:0005741,C:mitochondrial outer membrane,0.78
NP_001258866,GO:0005741,C:mitochondrial outer membrane,0.66
NP_001258936,GO:0005741,C:mitochondrial outer membrane,0.14
NP_001263996,GO:0005741,C:mitochondrial outer membrane,0.86
NP_001265519,GO:0005759,C:mitochondrial matrix,0.58
NP_001265660,GO:0005759,C:mitochondrial matrix,0.17
NP_001269160,GO:0005741,C:mitochondrial outer membrane,0.37
NP_001269287,GO:0005741,C:mitochondrial outer membrane,0.48
NP_001269918,GO:0005743,C:mitochondrial inner membrane,0.27
NP_001269919,GO:0005743,C:mitochondrial inner membrane,0.25
NP_001271297,GO:0005743,C:mitochondrial inner membrane,0.5
NP_001271333,GO:0005743,C:mitochondrial inner membrane,0.31
NP_001273045,GO:0005743,C:mitochondrial inner membrane,0.69
NP_001273149,GO:0005743,C:mitochondrial inner membrane,0.25
NP_001273178,GO:0005759,C:mitochondrial matrix,0.41
NP_001273193,GO:0005743,C:mitochondrial inner membrane,0.86
NP_001273402,GO:0005759,C:mitochondrial matrix,0.36
NP_001273639,GO:0005743,C:mitochondrial inner membrane,0.5
NP_001273748,GO:0005743,C:mitochondrial inner membrane,0.84
NP_001273960,GO:0005743,C:mitochondrial inner membrane,0.31
NP_001275693,GO:0005741,C:mitochondrial outer membrane,0.11
NP_001275885,GO:0005741,C:mitochondrial outer membrane,0.59
NP_001275899,GO:0005743,C:mitochondrial inner membrane,0.19
NP_001276839,GO:0005743,C:mitochondrial inner membrane,0.1
NP_001598,GO:0005743,C:mitochondrial inner membrane,0.13
NP_001689,GO:0005743,C:mitochondrial inner membrane,0.1
NP_001858,GO:0005743,C:mitochondrial inner membrane,0.74
NP_001957,GO:0005743,C:mitochondrial inner membrane,0.11
NP_002083,GO:0005759,C:mitochondrial matrix,0.28
NP_002302,GO:0005759,C:mitochondrial matrix,0.22
NP_002533,GO:0005759,C:mitochondrial matrix,0.33
NP_003479,GO:0005741,C:mitochondrial outer membrane,0.6
NP_003839,GO:0005759,C:mitochondrial matrix,0.17
NP_004065,GO:0005743,C:mitochondrial inner membrane,0.82
NP_004068,GO:0005759,C:mitochondrial matrix,0.93
NP_004368,GO:0005741,C:mitochondrial outer membrane,0.39
NP_004519,GO:0005743,C:mitochondrial inner membrane,0.76
NP_004553,GO:0005759,C:mitochondrial matrix,0.25
NP_004784,GO:0005759,C:mitochondrial matrix,0.49
NP_005138,GO:0005759,C:mitochondrial matrix,0.46
NP_005196,GO:0005743,C:mitochondrial inner membrane,0.68
NP_005381,GO:0005759,C:mitochondrial matrix,0.96
NP_005754,GO:0005743,C:mitochondrial inner membrane,0.22
NP_005909,GO:0005759,C:mitochondrial matrix,0.24
NP_006011,GO:0005741,C:mitochondrial outer membrane,0.11
NP_006342,GO:0005743,C:mitochondrial inner membrane,0.49
NP_006800,GO:0005758,C:mitochondrial intermembrane space,0.22
NP_009129,GO:0005759,C:mitochondrial matrix,0.14
NP_015565,GO:0005741,C:mitochondrial outer membrane,0.22
NP_036313,GO:0005741,C:mitochondrial outer membrane,0.6
NP_036590,GO:0005758,C:mitochondrial intermembrane space,0.59
NP_037399,GO:0005759,C:mitochondrial matrix,0.26
NP_056193,GO:0005743,C:mitochondrial inner membrane,0.45
NP_056284,GO:0005743,C:mitochondrial inner membrane,0.24
NP_056360,GO:0005743,C:mitochondrial inner membrane,0.19
NP_057053,GO:0005758,C:mitochondrial intermembrane space,0.28
NP_057166,GO:0005759,C:mitochondrial matrix,0.43
NP_057182,GO:0005743,C:mitochondrial inner membrane,0.85
NP_057444,GO:0005759,C:mitochondrial matrix,0.46
NP_060300,GO:0005743,C:mitochondrial inner membrane,0.56
NP_060422,GO:0005759,C:mitochondrial matrix,0.2
NP_060505,GO:0005759,C:mitochondrial matrix,0.28
NP_060777,GO:0005741,C:mitochondrial outer membrane,0.54
NP_061326,GO:0005743,C:mitochondrial inner membrane,0.28
NP_065158,GO:0005741,C:mitochondrial outer membrane,0.47
NP_065737,GO:0005759,C:mitochondrial matrix,0.83
NP_066957,GO:0005743,C:mitochondrial inner membrane,0.23
NP_073751,GO:0005741,C:mitochondrial outer membrane,0.19
NP_076931,GO:0005743,C:mitochondrial inner membrane,0.43
NP_077027,GO:0005743,C:mitochondrial inner membrane,0.81
NP_079193,GO:0005759,C:mitochondrial matrix,0.21
NP_085054,GO:0005743,C:mitochondrial inner membrane,0.74
NP_112534,GO:0005759,C:mitochondrial matrix,0.56
NP_115938,GO:0005743,C:mitochondrial inner membrane,0.67
NP_116784,GO:0005758,C:mitochondrial intermembrane space,0.75
NP_150597,GO:0005759,C:mitochondrial matrix,0.58
NP_203522,GO:0005741,C:mitochondrial outer membrane,0.23
NP_443133,GO:0005743,C:mitochondrial inner membrane,0.85
NP_542786,GO:0005743,C:mitochondrial inner membrane,0.7
NP_550433,GO:0005759,C:mitochondrial matrix,0.58
NP_612390,GO:0005743,C:mitochondrial inner membrane,0.21
NP_612501,GO:0005741,C:mitochondrial outer membrane,0.46
NP_620116,GO:0005741,C:mitochondrial outer membrane,0.8
NP_653164,GO:0005759,C:mitochondrial matrix,0.33
NP_653237,GO:0005758,C:mitochondrial intermembrane space,0.48
NP_665877,GO:0005741,C:mitochondrial outer membrane,0.26
NP_689629,GO:0005743,C:mitochondrial inner membrane,0.25
NP_689849,GO:0005759,C:mitochondrial matrix,0.6
NP_741982,GO:0005743,C:mitochondrial inner membrane,0.34
NP_775742,GO:0005743,C:mitochondrial inner membrane,0.96
NP_849158,GO:0005741,C:mitochondrial outer membrane,0.42
NP_851829,GO:0005743,C:mitochondrial inner membrane,0.4
NP_859056,GO:0005759,C:mitochondrial matrix,0.73
NP_859074,GO:0005743,C:mitochondrial inner membrane,0.56
NP_877420,GO:0005741,C:mitochondrial outer membrane,0.51
NP_997198,GO:0005759,C:mitochondrial matrix,0.31
NP_998760,GO:0005759,C:mitochondrial matrix,0.47
NP_998885,GO:0005758,C:mitochondrial intermembrane space,0.53
NP_000023,GO:0005759,C:mitochondrial matrix,0.51
NP_000311,GO:0005743,C:mitochondrial inner membrane,0.13
NP_000628,GO:0005759,C:mitochondrial matrix,0.12
NP_000687,GO:0005743,C:mitochondrial inner membrane,0.42
NP_001001935,GO:0005743,C:mitochondrial inner membrane,0.16
NP_001003714,GO:0005758,C:mitochondrial intermembrane space,0.18
NP_001003803,GO:0005759,C:mitochondrial matrix,0.3
NP_001011667,GO:0005741,C:mitochondrial outer membrane,0.53
NP_001011668,GO:0005758,C:mitochondrial intermembrane space,0.75
NP_001019636,GO:0005759,C:mitochondrial matrix,0.54
NP_001020420,GO:0005759,C:mitochondrial matrix,0.14
NP_001026847,GO:0005741,C:mitochondrial outer membrane,0.42
NP_001027559,GO:0005759,C:mitochondrial matrix,0.14
NP_001029345,GO:0005759,C:mitochondrial matrix,0.15
NP_001041636,GO:0005759,C:mitochondrial matrix,0.14
NP_001073308,GO:0005743,C:mitochondrial inner membrane,0.56
NP_001091991,GO:0005741,C:mitochondrial outer membrane,0.15
NP_001095836,GO:0005759,C:mitochondrial matrix,0.45
NP_001095839,GO:0005759,C:mitochondrial matrix,0.42
NP_001099014,GO:0005743,C:mitochondrial inner membrane,0.29
NP_001106676,GO:0005741,C:mitochondrial outer membrane,0.32
NP_001116236,GO:0005741,C:mitochondrial outer membrane,0.31
NP_001129142,GO:0005759,C:mitochondrial matrix,0.76
NP_001129524,GO:0005741,C:mitochondrial outer membrane,0.34
NP_001136026,GO:0005759,C:mitochondrial matrix,0.14
NP_001152863,GO:0005759,C:mitochondrial matrix,0.17
NP_001154485,GO:0005741,C:mitochondrial outer membrane,0.29
NP_001159434,GO:0005743,C:mitochondrial inner membrane,0.31
NP_001161206,GO:0005743,C:mitochondrial inner membrane,0.12
NP_001161340,GO:0005759,C:mitochondrial matrix,0.18
NP_001164014,GO:0005741,C:mitochondrial outer membrane,0.37
NP_001166983,GO:0005759,C:mitochondrial matrix,0.52
NP_001171070,GO:0005759,C:mitochondrial matrix,0.16
NP_001171917,GO:0005743,C:mitochondrial inner membrane,0.77
NP_001177258,GO:0005743,C:mitochondrial inner membrane,0.76
NP_001177912,GO:0005743,C:mitochondrial inner membrane,0.51
NP_001180304,GO:0005743,C:mitochondrial inner membrane,0.46
NP_001181924,GO:0005759,C:mitochondrial matrix,0.31
NP_001185642,GO:0005758,C:mitochondrial intermembrane space,0.15
NP_001185890,GO:0005743,C:mitochondrial inner membrane,0.49
NP_001186221,GO:0005743,C:mitochondrial inner membrane,0.11
NP_001186674,GO:0005758,C:mitochondrial intermembrane space,0.11
NP_001186829,GO:0005759,C:mitochondrial matrix,0.27
NP_001186904,GO:0005758,C:mitochondrial intermembrane space,0.53
NP_001186910,GO:0005743,C:mitochondrial inner membrane,0.32
NP_001191040,GO:0005741,C:mitochondrial outer membrane,0.57
NP_001192176,GO:0005743,C:mitochondrial inner membrane,0.15
