Header,GeneID,Gene,Prediction,OTHER,SP,mTP,CS Position,CS,Prob
YP_3024037,4541,MT-ND6,OTHER,0.746192,0.250223,0.003585,,,
YP_3024036,4540,MT-ND5,OTHER,0.998271,0.001561,0.000168,,,
YP_3024034,4539,MT-ND4L,OTHER,0.994694,0.005233,0.000073,,,
YP_3024035,4538,MT-ND4,OTHER,0.996063,0.001928,0.002009,,,
YP_3024033,4537,MT-ND3,OTHER,0.958006,0.041934,0.00006,,,
YP_3024027,4536,MT-ND2,OTHER,0.999274,0.000296,0.000429,,,
YP_3024026,4535,MT-ND1,OTHER,0.998178,0.001673,0.000149,,,
YP_3024038,4519,MT-CYB,OTHER,0.999545,0.000064,0.000392,,,
YP_3024032,4514,MT-CO3,OTHER,0.999274,0.000367,0.00036,,,
YP_3024029,4513,MT-CO2,OTHER,0.9999,0.000025,0.000075,,,
YP_3024028,4512,MT-CO1,OTHER,0.997268,0.000552,0.002181,,,
YP_3024030,4509,MT-ATP8,SP,0.07598,0.922115,0.001905,CS pos: 31-32. LNT-NY. Pr: 0.7198,31,0.7198
YP_3024031,4508,MT-ATP6,OTHER,0.999421,0.00016,0.000419,,,
NP_1909,1629,DBT,mTP,0.110618,0.000015,0.889368,CS pos: 23-24. RYF-QT. Pr: 0.1521,23,0.1521
NP_115785,65018,PINK1,mTP,0.312981,0.014419,0.6726,CS pos: 49-50. GWA-AG. Pr: 0.0728,49,0.0728
NP_2970,6342,SCP2,OTHER,0.967689,0.026152,0.006159,,,
NP_1180528,6342,SCP2,OTHER,0.971585,0.02437,0.004046,,,
NP_1180529,6342,SCP2,OTHER,0.984462,0.012034,0.003503,,,
NP_1180546,6342,SCP2,OTHER,0.988038,0.003336,0.008626,,,
NP_60370,54998,AURKAIP1,mTP,0.179454,0.000958,0.819588,CS pos: 38-39. PLY-ST. Pr: 0.5989,38,0.5989
NP_863654,11332,ACOT7,OTHER,0.510447,0.002063,0.48749,,,
NP_9205,11332,ACOT7,OTHER,0.985009,0.013251,0.00174,,,
NP_55689,9927,MFN2,OTHER,0.921153,0.000132,0.078716,,,
NP_1121132,9927,MFN2,OTHER,0.921153,0.000132,0.078716,,,
NP_56193,55187,VPS13D,OTHER,0.990369,0.007802,0.001829,,,
NP_60626,55187,VPS13D,OTHER,0.990369,0.007802,0.001829,,,
NP_78916,79693,YRDC,OTHER,0.911825,0.005589,0.082586,,,
NP_1095132,4898,NRDC,OTHER,0.91183,0.001121,0.087048,,,
NP_2516,4898,NRDC,OTHER,0.91183,0.001121,0.087048,,,
NP_1229290,4898,NRDC,OTHER,0.999971,0.000008,0.000021,,,
NP_671517,26027,ACOT11,OTHER,0.664884,0.002402,0.332713,,,
NP_56362,26027,ACOT11,OTHER,0.664884,0.002402,0.332713,,,
NP_660286,115209,OMA1,mTP,0.446964,0.00021,0.552827,CS pos: 37-38. SRG-CH. Pr: 0.3020,37,0.302
NP_982289,205,AK4,OTHER,0.689186,0.000636,0.310177,,,
NP_37542,205,AK4,OTHER,0.689186,0.000636,0.310177,,,
NP_1005353,205,AK4,OTHER,0.689186,0.000636,0.310177,,,
NP_940951,374986,MIGA1,OTHER,0.999692,0.000248,0.000059,,,
NP_1257313,374986,MIGA1,OTHER,0.999692,0.000248,0.000059,,,
NP_1116146,5825,ABCD3,OTHER,0.476291,0.212065,0.311644,,,
NP_2849,5825,ABCD3,OTHER,0.476291,0.212065,0.311644,,,
NP_957715,10352,WARS2,OTHER,0.64308,0.00097,0.35595,,,
NP_56651,10352,WARS2,OTHER,0.64308,0.00097,0.35595,,,
NP_57611,51179,HAO2,OTHER,0.999769,0.000213,0.000018,,,
NP_1005783,51179,HAO2,OTHER,0.999769,0.000213,0.000018,,,
NP_79426,80222,TARS2,mTP,0.115912,0.000471,0.883617,CS pos: 50-51. KRL-AS. Pr: 0.2229,50,0.2229
NP_1258824,80222,TARS2,mTP,0.115912,0.000471,0.883617,CS pos: 50-51. KRL-AS. Pr: 0.2229,50,0.2229
NP_1258825,80222,TARS2,mTP,0.115912,0.000471,0.883617,CS pos: 50-51. KRL-AS. Pr: 0.2229,50,0.2229
NP_56230,25874,MPC2,OTHER,0.960592,0.000221,0.039187,,,
NP_1137146,25874,MPC2,OTHER,0.960592,0.000221,0.039187,,,
NP_60592,55157,DARS2,mTP,0.289364,0.000161,0.710475,CS pos: 51-52. VRT-NT. Pr: 0.1442,51,0.1442
NP_932066,51022,GLRX2,mTP,0.041618,0.004088,0.954294,CS pos: 29-30. AAG-AA. Pr: 0.1038,29,0.1038
NP_57150,51022,GLRX2,OTHER,0.984532,0.002908,0.01256,,,
NP_1230328,51022,GLRX2,OTHER,0.999753,0.000181,0.000066,,,
NP_73583,64757,MTARC1,OTHER,0.582948,0.164746,0.252307,,,
NP_64632,56997,COQ8A,OTHER,0.736785,0.001012,0.262202,,,
NP_55580,9804,TOMM20,OTHER,0.875022,0.072575,0.052404,,,
NP_3670,8564,KMO,OTHER,0.993309,0.002253,0.004438,,,
NP_1120701,54998,AURKAIP1,mTP,0.179454,0.000958,0.819588,CS pos: 38-39. PLY-ST. Pr: 0.5989,38,0.5989
NP_1120702,54998,AURKAIP1,mTP,0.179454,0.000958,0.819588,CS pos: 38-39. PLY-ST. Pr: 0.5989,38,0.5989
NP_699170,126789,PUSL1,OTHER,0.997337,0.000264,0.002398,,,
NP_60441,55052,MRPL20,OTHER,0.571285,0.000162,0.428552,,,
NP_114127,83858,ATAD3B,OTHER,0.99988,0.000018,0.000101,,,
NP_1164006,55210,ATAD3A,OTHER,0.999865,0.000019,0.000116,,,
NP_1164007,55210,ATAD3A,OTHER,0.999984,0.000004,0.000013,,,
NP_60658,55210,ATAD3A,OTHER,0.99995,0.00003,0.00002,,,
NP_863656,11332,ACOT7,OTHER,0.99903,0.000077,0.000893,,,
NP_863655,11332,ACOT7,OTHER,0.593928,0.000828,0.405244,,,
NP_60668,55735,DNAJC11,OTHER,0.999974,0.000015,0.00001,,,
NP_9193,11315,PARK7,OTHER,0.998395,0.000508,0.001097,,,
NP_1116849,11315,PARK7,OTHER,0.998395,0.000508,0.001097,,,
NP_115691,84275,SLC25A33,OTHER,0.970016,0.021072,0.008912,,,
NP_127463,842,CASP9,OTHER,0.577326,0.000708,0.421966,,,
NP_1220,842,CASP9,OTHER,0.999921,0.000022,0.000057,,,
NP_1264983,842,CASP9,OTHER,0.999978,0.000006,0.000015,,,
NP_79034,79814,AGMAT,mTP,0.160339,0.000765,0.838896,CS pos: 32-33. RRQ-SR. Pr: 0.3307,32,0.3307
NP_997231,284723,SLC25A34,OTHER,0.836394,0.161367,0.002239,,,
NP_2991,6390,SDHB,mTP,0.00074,0.000566,0.998694,CS pos: 28-29. SRG-AQ. Pr: 0.4078,28,0.4078
NP_3739,8659,ALDH4A1,mTP,0.007127,0.000212,0.992661,CS pos: 24-25. LRW-KH. Pr: 0.3719,24,0.3719
NP_733844,8659,ALDH4A1,mTP,0.007127,0.000212,0.992661,CS pos: 24-25. LRW-KH. Pr: 0.3719,24,0.3719
NP_1154976,8659,ALDH4A1,OTHER,0.999977,0.000021,0.000002,,,
NP_3680,8574,AKR7A2,mTP,0.291608,0.004972,0.70342,CS pos: 51-52. RRM-DA. Pr: 0.2898,51,0.2898
NP_1191012,440574,MICOS10,OTHER,0.996488,0.00161,0.001902,,,
NP_1191011,440574,MICOS10,OTHER,0.912316,0.085071,0.002613,,,
NP_1027535,440574,MICOS10,OTHER,0.989564,0.008284,0.002152,,,
NP_78820,79594,MUL1,SP,0.420655,0.560964,0.018382,CS pos: 23-24. VTA-AL. Pr: 0.7061,23,0.7061
NP_1159531,3155,HMGCL,mTP,0.006526,0.00453,0.988943,CS pos: 20-21. LRA-VS. Pr: 0.2131,20,0.2131
NP_182,3155,HMGCL,mTP,0.006836,0.005375,0.987789,CS pos: 20-21. LRA-VS. Pr: 0.2132,20,0.2132
NP_1093097,56181,MTFR1L,OTHER,0.996122,0.000078,0.003799,,,
NP_1093096,56181,MTFR1L,OTHER,0.996463,0.0001,0.003437,,,
NP_62457,56181,MTFR1L,OTHER,0.996463,0.0001,0.003437,,,
NP_1093095,56181,MTFR1L,OTHER,0.996463,0.0001,0.003437,,,
NP_835498,93974,ATP5IF1,mTP,0.002896,0.007708,0.989396,CS pos: 25-26. RGF-GS. Pr: 0.8867,25,0.8867
NP_57395,93974,ATP5IF1,mTP,0.033211,0.001431,0.965358,CS pos: 25-26. RGF-GS. Pr: 0.8738,25,0.8738
NP_835497,93974,ATP5IF1,mTP,0.01388,0.024409,0.961711,CS pos: 25-26. RGF-GS. Pr: 0.8889,25,0.8889
NP_1019903,51102,MECR,OTHER,0.998819,0.000368,0.000812,,,
NP_57095,51102,MECR,mTP,0.008985,0.00014,0.990875,CS pos: 34-35. SSY-SA. Pr: 0.6000,34,0.6
NP_1186128,204,AK2,OTHER,0.999889,0.000075,0.000036,,,
NP_37543,204,AK2,OTHER,0.999886,0.00007,0.000044,,,
NP_1616,204,AK2,OTHER,0.999886,0.00007,0.000044,,,
NP_112570,64960,MRPS15,mTP,0.010487,0.000385,0.989128,CS pos: 53-54. RGY-VV. Pr: 0.2856,53,0.2856
NP_4543,4725,NDUFS5,OTHER,0.983221,0.000287,0.016492,,,
NP_1171908,4725,NDUFS5,OTHER,0.983221,0.000287,0.016492,,,
NP_71403,64064,OXCT2,mTP,0.001248,0.000262,0.99849,CS pos: 39-40. RLR-AK. Pr: 0.3863,39,0.3863
NP_60116,54802,TRIT1,mTP,0.245389,0.008168,0.746443,CS pos: 47-48. QRL-GG. Pr: 0.2265,47,0.2265
NP_1041638,4595,MUTYH,OTHER,0.999803,0.000008,0.000189,,,
NP_36354,4595,MUTYH,OTHER,0.65746,0.000788,0.341752,,,
NP_1121897,4595,MUTYH,OTHER,0.721106,0.001153,0.27774,,,
